nazivvideoigra,godinaizdanja,metascore,wikipedia_stranica,multiplayer,nazivproizvodac,nazivizdavac,nazivzanr,nazivplatforma,imelik
GTA 5,2013,97,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,DA,Rockstar North,Rockstar Games,akcijska avantura,"{PS3,PS4,""XBOX 360"",""XBOX One"",PC}","{Michael,Franklin,Trevor}"
GTA San Andreas,2004,95,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_San_Andreas,NE,Rockstar North,Rockstar Games,akcijska avantura,"{PS2,PC}","{CJ,SWEET}"
Red Dead Redemption,2010,95,https://en.wikipedia.org/wiki/Red_Dead_Redemption,DA,Rockstar San Diego,Rockstar Games,akcijska avantura,"{PS3,""XBOX 360""}","{""John Marston""}"
The Last of Us,2013,95,https://en.wikipedia.org/wiki/The_Last_of_Us,DA,Naughty Dog,Sony Computer Entertainment,akcijska avantura,"{PS3,PS4}","{Joel,Ellie}"
Uncharted 3,2011,92,https://en.wikipedia.org/wiki/Uncharted_3:_Drake%27s_Deception,DA,Naughty Dog,Sony Computer Entertainment,akcijska avantura,{PS3},"{Drake,Sully}"
Watch Dogs,2014,82,https://en.wikipedia.org/wiki/Watch_Dogs,DA,Ubisoft Montreal,Ubisoft,akcijska avantura,"{PS3,PS4,""XBOX 360"",""XBOX One"",PC}","{""Aiden Pearce""}"
Assassins Creed 2,2009,90,https://en.wikipedia.org/wiki/Assassin%27s_Creed_II,NE,Ubisoft Montreal,Ubisoft,akcijska avantura,"{PS3,""XBOX 360"",PC}","{""Ezio Auditore da Firenze""}"
Far Cry 3,2012,88,https://en.wikipedia.org/wiki/Far_Cry_3,DA,Ubisoft Montreal,Ubisoft,FPS,"{PS3,""XBOX 360"",PC}",{Jason}
God of War 3,2010,92,https://en.wikipedia.org/wiki/God_of_War_III,NE,SCE Santa Monica Studio,Sony Computer Entertainment,hack and slash,{PS3},{Kratos}
Call of Duty 3,2006,90,https://en.wikipedia.org/wiki/Call_of_Duty_3,NE,Treyarch,Activision,FPS,"{PS2,PC}","{""Sgt. James Doyle""}"
Call of Duty Modern Warfare 2,2009,94,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_2,DA,Infinity Ward,Activision,FPS,"{PS3,""XBOX 360"",PC}","{Roach,Soap}"
